date,home,away,home_score,away_score,venue,prob_home,prediction,confidence,pair_games,predicted_historical_rate,home_season_rate,away_season_rate,form_agreement,high_confidence,hit,split
2025-04-20,楽天,ロッテ,4,1,楽天モバイル,0.5386577498396256,0,0.46134225016037445,28,0.5357142857142857,0.4444444444444444,0.4375,False,False,False,2025_rule_selection
2025-04-20,西武,ソフトバンク,1,3,メットライフドーム,0.5290378244296023,0,0.47096217557039766,30,0.6,0.5294117647058824,0.35294117647058826,False,False,True,2025_rule_selection
2025-04-20,阪神,広島,8,1,甲子園球場,0.544441382613824,0,0.455558617386176,28,0.5,0.5333333333333333,0.625,True,False,False,2025_rule_selection
2025-04-22,DeNA,阪神,2,4,横浜スタジアム,0.5401749734771568,0,0.4598250265228432,25,0.52,0.4,0.5625,True,False,True,2025_rule_selection
2025-04-22,ロッテ,西武,2,1,ZOZOマリンスタジアム,0.5749693273385212,1,0.5749693273385212,26,0.8076923076923077,0.4117647058823529,0.5,False,False,True,2025_rule_selection
2025-04-22,巨人,中日,8,1,東京ドーム,0.552980718156993,0,0.447019281843007,26,0.3846153846153846,0.47058823529411764,0.5333333333333333,True,False,False,2025_rule_selection
2025-04-22,日本ハム,楽天,2,4,エスコンF,0.5445786858024817,0,0.4554213141975183,24,0.41666666666666663,0.5789473684210527,0.47368421052631576,False,False,True,2025_rule_selection
2025-04-23,DeNA,阪神,2,3,横浜スタジアム,0.5412947008085718,0,0.4587052991914282,26,0.5384615384615384,0.375,0.5882352941176471,True,False,True,2025_rule_selection
2025-04-23,ソフトバンク,オリックス,6,2,PayPayドーム,0.5655111530824272,1,0.5655111530824272,25,0.76,0.3888888888888889,0.631578947368421,False,False,True,2025_rule_selection
2025-04-23,ロッテ,西武,5,2,ZOZOマリンスタジアム,0.5722448937599457,1,0.5722448937599457,27,0.8148148148148148,0.4444444444444444,0.47368421052631576,False,False,True,2025_rule_selection
2025-04-23,巨人,中日,2,0,東京ドーム,0.5563495512391616,1,0.5563495512391616,27,0.6296296296296297,0.5,0.5,True,False,True,2025_rule_selection
2025-04-23,広島,ヤクルト,7,1,マツダスタジアム,0.5664849714179225,1,0.5664849714179225,26,0.5384615384615384,0.5882352941176471,0.42857142857142855,True,False,True,2025_rule_selection
2025-04-23,日本ハム,楽天,3,8,エスコンF,0.5469524366826779,0,0.4530475633173221,25,0.43999999999999995,0.55,0.5,False,False,True,2025_rule_selection
2025-04-25,DeNA,広島,2,1,横浜スタジアム,0.5423479827244966,0,0.4576520172755034,26,0.5769230769230769,0.35294117647058826,0.6111111111111112,True,False,False,2025_rule_selection
2025-04-25,中日,ヤクルト,4,6,ナゴヤドーム,0.5521387733472147,0,0.44786122665278527,25,0.48,0.47058823529411764,0.4,False,False,True,2025_rule_selection
2025-04-25,日本ハム,ロッテ,1,2,エスコンF,0.5501413418350756,0,0.44985865816492443,26,0.2692307692307693,0.5238095238095238,0.47368421052631576,False,False,True,2025_rule_selection
2025-04-25,楽天,ソフトバンク,0,1,楽天モバイル,0.5206667364013865,0,0.4793332635986135,28,0.5714285714285714,0.5238095238095238,0.42105263157894735,False,False,True,2025_rule_selection
2025-04-25,西武,オリックス,2,6,メットライフドーム,0.5337262582120875,0,0.4662737417879125,28,0.4642857142857143,0.45,0.6,True,False,True,2025_rule_selection
2025-04-25,阪神,巨人,4,1,甲子園球場,0.5479835724088553,0,0.4520164275911447,27,0.4444444444444444,0.6111111111111112,0.5263157894736842,False,False,False,2025_rule_selection
2025-04-26,DeNA,広島,2,0,横浜スタジアム,0.5413271492751112,0,0.45867285072488884,27,0.5555555555555556,0.3888888888888889,0.5789473684210527,True,False,False,2025_rule_selection
2025-04-26,中日,ヤクルト,5,2,ナゴヤドーム,0.5517055156240593,0,0.44829448437594066,26,0.5,0.4444444444444444,0.4375,False,False,False,2025_rule_selection
2025-04-26,日本ハム,ロッテ,2,1,エスコンF,0.5492640386464656,0,0.45073596135353444,27,0.2962962962962963,0.5,0.5,True,False,False,2025_rule_selection
2025-04-26,楽天,ソフトバンク,6,3,楽天モバイル,0.5272698574698703,0,0.4727301425301297,29,0.5862068965517242,0.5,0.45,False,False,False,2025_rule_selection
2025-04-26,西武,オリックス,3,0,メットライフドーム,0.5354687770645478,0,0.46453122293545224,29,0.48275862068965514,0.42857142857142855,0.6190476190476191,True,False,False,2025_rule_selection
2025-04-26,阪神,巨人,6,2,甲子園球場,0.5448571864083088,0,0.4551428135916912,28,0.4285714285714286,0.631578947368421,0.5,False,False,False,2025_rule_selection
2025-04-27,DeNA,広島,2,1,横浜スタジアム,0.545472565473921,0,0.454527434526079,28,0.5357142857142857,0.42105263157894735,0.55,True,False,False,2025_rule_selection
2025-04-27,中日,ヤクルト,2,6,ナゴヤドーム,0.54883574914016,0,0.45116425085984,27,0.4814814814814815,0.47368421052631576,0.4117647058823529,False,False,True,2025_rule_selection
2025-04-27,日本ハム,ロッテ,3,5,エスコンF,0.5563348484569917,1,0.5563348484569917,28,0.7142857142857143,0.5217391304347826,0.47619047619047616,True,False,False,2025_rule_selection
2025-04-27,楽天,ソフトバンク,3,2,楽天モバイル,0.5286317889307519,0,0.4713682110692481,30,0.5666666666666667,0.5217391304347826,0.42857142857142855,False,False,False,2025_rule_selection
2025-04-27,西武,オリックス,3,2,メットライフドーム,0.5349495304939736,0,0.46505046950602635,30,0.4666666666666667,0.45454545454545453,0.5909090909090909,True,False,False,2025_rule_selection
2025-04-27,阪神,巨人,1,2,甲子園球場,0.554720316088926,0,0.445279683911074,29,0.4137931034482759,0.65,0.47619047619047616,False,False,True,2025_rule_selection
2025-04-29,オリックス,ロッテ,3,2,京セラドーム大阪,0.5294476940467571,0,0.47055230595324293,23,0.6086956521739131,0.5652173913043478,0.5,False,False,False,2025_rule_selection
2025-04-29,ソフトバンク,日本ハム,1,2,PayPayドーム,0.5559156108994563,1,0.5559156108994563,24,0.5,0.4090909090909091,0.5,False,False,False,2025_rule_selection
2025-04-29,中日,阪神,4,1,ナゴヤドーム,0.5522820562092449,0,0.44771794379075514,24,0.6666666666666667,0.45,0.6190476190476191,True,False,False,2025_rule_selection
2025-04-29,巨人,広島,4,3,東京ドーム,0.5458938919643401,0,0.4541061080356599,25,0.48,0.5,0.5238095238095238,True,False,False,2025_rule_selection
2025-04-30,オリックス,ロッテ,5,0,京セラドーム大阪,0.5271209762418466,0,0.4728790237581534,24,0.5833333333333333,0.5833333333333334,0.4782608695652174,False,False,False,2025_rule_selection
2025-04-30,ソフトバンク,日本ハム,1,6,PayPayドーム,0.5645775528609469,1,0.5645775528609469,25,0.48,0.391304347826087,0.52,False,False,False,2025_rule_selection
2025-04-30,巨人,広島,2,0,東京ドーム,0.5450137586665176,0,0.4549862413334824,26,0.46153846153846156,0.5217391304347826,0.5,False,False,False,2025_rule_selection
