試合日,対戦相手,ホーム・ビジター,球場,ホークス得点,相手得点,通常勝敗,ホークスハンデ,相手ハンデ,補正後ホークス得点,補正後相手得点,ハンデ勝敗,AI予測,AI勝率,予測方式,通常的中,ハンデ的中
2024-06-08,DeNA,away,横浜スタジアム,5.0,3.0,勝,,,,,対象外,勝,60.8,ウォークフォワード,True,
2024-06-09,DeNA,away,横浜スタジアム,5.0,8.0,敗,,,,,対象外,敗,43.3,ウォークフォワード,True,
2024-06-11,ヤクルト,home,PayPayドーム,4.0,2.0,勝,,,,,対象外,勝,59.1,ウォークフォワード,True,
2024-06-12,ヤクルト,home,PayPayドーム,3.0,9.0,敗,,,,,対象外,勝,72.9,ウォークフォワード,False,
2024-06-13,ヤクルト,home,PayPayドーム,6.0,3.0,勝,,,,,対象外,勝,73.9,ウォークフォワード,True,
2024-06-14,阪神,home,PayPayドーム,2.0,0.0,勝,,,,,対象外,勝,85.4,ウォークフォワード,True,
2024-06-15,阪神,home,PayPayドーム,6.0,2.0,勝,,,,,対象外,勝,79.7,ウォークフォワード,True,
2024-06-16,阪神,home,PayPayドーム,1.0,4.0,敗,,,,,対象外,勝,62.2,ウォークフォワード,False,
2024-06-21,ロッテ,home,北九州,9.0,4.0,勝,,,,,対象外,勝,77.6,ウォークフォワード,True,
2024-06-22,ロッテ,home,PayPayドーム,3.0,1.0,勝,,,,,対象外,勝,83.0,ウォークフォワード,True,
2024-06-23,ロッテ,home,PayPayドーム,6.0,6.0,分,,,,,対象外,勝,50.2,ウォークフォワード,,
2024-06-25,オリックス,away,京セラドーム大阪,7.0,2.0,勝,,,,,対象外,勝,52.8,ウォークフォワード,True,
2024-06-26,オリックス,away,京セラドーム大阪,5.0,1.0,勝,,,,,対象外,勝,59.6,ウォークフォワード,True,
2024-06-27,オリックス,away,京セラドーム大阪,1.0,3.0,敗,,,,,対象外,勝,69.5,ウォークフォワード,False,
2024-06-28,日本ハム,away,エスコンF,5.0,1.0,勝,,,,,対象外,敗,47.1,ウォークフォワード,False,
2024-06-29,日本ハム,away,エスコンF,7.0,1.0,勝,,,,,対象外,勝,62.6,ウォークフォワード,True,
2024-06-30,日本ハム,away,エスコンF,10.0,3.0,勝,,,,,対象外,勝,63.7,ウォークフォワード,True,
2024-07-02,西武,home,東京ドーム,3.0,2.0,勝,,,,,対象外,勝,77.4,ウォークフォワード,True,
2024-07-04,西武,home,PayPayドーム,0.0,4.0,敗,,,,,対象外,勝,74.6,ウォークフォワード,False,
2024-07-05,楽天,home,PayPayドーム,1.0,5.0,敗,,,,,対象外,勝,88.2,ウォークフォワード,False,
2024-07-06,楽天,home,PayPayドーム,0.0,4.0,敗,,,,,対象外,勝,80.3,ウォークフォワード,False,
2024-07-07,楽天,home,PayPayドーム,5.0,3.0,勝,,,,,対象外,勝,62.5,ウォークフォワード,True,
2024-07-09,オリックス,away,京セラドーム大阪,0.0,3.0,敗,,,,,対象外,勝,76.7,ウォークフォワード,False,
2024-07-10,オリックス,away,京セラドーム大阪,3.0,4.0,敗,,,,,対象外,勝,74.0,ウォークフォワード,False,
2024-07-12,日本ハム,away,エスコンF,5.0,4.0,勝,,,,,対象外,勝,57.4,ウォークフォワード,True,
2024-07-13,日本ハム,away,エスコンF,2.0,3.0,敗,,,,,対象外,勝,67.3,ウォークフォワード,False,
2024-07-14,日本ハム,away,エスコンF,1.0,3.0,敗,,,,,対象外,勝,65.4,ウォークフォワード,False,
2024-07-15,ロッテ,home,PayPayドーム,5.0,8.0,敗,,,,,対象外,勝,81.8,ウォークフォワード,False,
2024-07-16,ロッテ,home,PayPayドーム,4.0,1.0,勝,,,,,対象外,勝,70.0,ウォークフォワード,True,
2024-07-17,ロッテ,home,PayPayドーム,6.0,4.0,勝,,,,,対象外,勝,70.3,ウォークフォワード,True,
